#,Name,Dominion,Class,Role,Role Details,ID,Effect Name 1,Effect Type 1,Effect Details 1,Effect Name 2,Effect Type 2,Effect Details 2,Keywords,Ether,Prowess,Fortitude,Artwork,#Artwork Config,Flavour,Lore,Name Inspiration,Art Direction,Mechanic(s)
0054,Geyser Strike,Iro-Si-Khar,SPECIAL ACTION,,,02IRO-07SPA-0054,,,"An ally performs the following *free attack action*:
An enemy within **RANGE(5)** suffers an **IMPACT(3)**, then remove this character as defeated.",,,,,4,,,,".png,50,0,100",,,,,"#RANGE(5), #IMPACT, ~Minion"
0055,Tidal Surge,Iro-Si-Khar,SPECIAL ACTION,,,02IRO-07SPA-0055,,,"An ally performs the following *free action*:
**PUSH(6d{M3/Icons/Dice/NULL.png})** all characters within **PIERCE(3)**. This movement immediately disengages combat.",,,,,4,,,,".png,0,0,100",,,,,#P-AWAY
0056,Ameliorate,Iro-Si-Khar,SPECIAL ACTION,,,02IRO-07SPA-0056,,,"Each *wounded* character summons 1 ""Driplet"" in the nearest available space. *N.B. each wounded Driplet counts as wounded even if in **UNION(X)**, and a **UNION** not at capacity counts as an available space.*",,,,,6,,,,".png,50,0,100",,,,,~Minion
0057,Caught in the Eddies,Iro-Si-Khar,SPECIAL ACTION,,,02IRO-07SPA-0057,,,"Your champion performs the following *free action*:
An enemy within **RANGE(5)** becomes ""Sunk"" until your next prologue. Each ""Sunk"" character is **ROOTED**, and cannot be the *origin* or *focus* of any of you opponent's effects.",,,,,4,,,,".png,50,0,100",,,,,"#ROOTED, #Untargetable, ~Sunk"
0058,Permeate,Iro-Si-Khar,SPECIAL ACTION,,,02IRO-07SPA-0058,,,**WEAKEN(-1)** and **SUNDER(-1)** an enemy within **RANGE(5)** of an ally until your next prologue.,,,,,5,,,,".png,50,0,100",,,,,"#WEAKEN, #SUNDER"
0059,Glacial Prison,Iro-Si-Khar,SPECIAL ACTION,,,02IRO-07SPA-0059,,,"An ally performs the following *free action*:
A character within **RANGE(5)** of this character becomes **STUNNED **, cannot be the *origin* or *focus* of any effects, and counts as a ""Floe"", then remove this character as defeated.
Each ""Floe"" is an *obstruction*. This effect persists until your next prologue.",,,,,5,,,,".png,50,0,100",,,,,"#Obstruction, #STUNNED, #Untargetable, ~Frozen, ~Minion"
0060,Heavy Precipitation,Iro-Si-Khar,SPECIAL ACTION,,,02IRO-07SPA-0060,,,"An ally performs the following *free action*:
Whilst within **AURA(5)**, **WEAKEN(-1)** all enemies. This effect persists until your next prologue.",,,,,6,,,,".png,50,0,100",,,,,#WEAKEN
0061,Rime-Heart,Iro-Si-Khar,SPECIAL ACTION,,,02IRO-07SPA-0061,,,An ally gains **FORCE({M3/Icons/Dice/CIRCLE.png})** until your next epilogue.,,,,,6,,,,".png,50,0,100",,,,,#FORCE
0062,Undertow,Iro-Si-Khar,SPECIAL ACTION,,,02IRO-07SPA-0062,,,"All enemies *engaged in combat* with an ally become ""Sunk"" until you next prologue. When an ally performs an *attack* against a ""Sunk"" enemy, they gain **ADVANTAGE** on the *attack*. Each ""Sunk"" enemy must pass a rank-2 check to successfully perform ""Disengage"".",,,,,6,,,,".png,50,0,100",,,,,"#Grapple, #ADVANTAGE-ATK"
0063,Deluge,Iro-Si-Khar,SPECIAL ACTION,,,02IRO-07SPA-0063,,,"An ally performs the following *free action*:
Designate a space within **RANGE(3)** of this character, **PUSH(4d{M3/Icons/Dice/NULL.png})** and **SUNDER(-1)** all enemies within **BLAST(2)** of this space until your epilogue. This movement immediately disengages combat.",,,,,7,,,,".png,50,0,100",,,,,"#P-AWAY, #SUNDER"
0064,Aqueduct,Iro-Si-Khar,SPECIAL ACTION,,,02IRO-07SPA-0064,,,"Summon a *conduit* on an available space within **RANGE(3)** of an ally.
Each *conduit* is a *catalyst* that causes allies to gain 2 more *steps* this *manoeuvre*. This effect persists until your next epilogue.",,,,,5,,,,".png,50,0,100",,,,,"#Catalyst, #Bonus Movement, ~Conduit"
0065,Hoarfrost,Iro-Si-Khar,SPECIAL ACTION,,,02IRO-07SPA-0065,,,An ally gains **RIPOSTE** until your next prologue.,,,,,5,,,,".png,50,0,100",,,,,#RIPOSTE
0066,Condense,Iro-Si-Khar,SPECIAL ACTION,,,02IRO-07SPA-0066,,,Summon X Driplets to any available space adjacent to your champion. *N.B. This action still follows the standard limit of 3 Driplets to a UNION.*,,,,,X,,,,".png,50,0,100",,,,,~Minion
0067,Glissade,Iro-Si-Khar,SPECIAL ACTION,,,02IRO-07SPA-0067,,,"An ally performs the following *manoeuvre action*:
This character **MANOEUVRE(X)** where X is this character's remaining health. Summon a ""Floe"" on each space moved to during this action. Then remove this character as defeated. Each ""Floe"" is a *catalyst* that causes allies to gain 1 more *step* this *manoeuvre*. This effect persists until your next epilogue.",,,,,5,,,,".png,50,0,100",,,,,"#Catalyst, ~Floe, #Bonus Movement"
0068,Lark,Voisira,CHAMPION,,,03VOI-01CHP-0068,TRICK SHOT,SPECIAL ACTION | 4,"**QUICKCHARGE**
This character gains **PATH(5)** but loses **FORCE({M3/Icons/Dice/TRIANGLE.png})** on their next *attack*.",,,,"RANGE(10), FORCE({M3/Icons/Dice/TRIANGLE.png})",,9,6,https://drive.google.com/thumbnail?id=1ZrfkP8tMP7c3AoyFAbACBBMARU3HynZj&sz=w200,".png,0,0,100","""The Voisian winds are free, and I plan to join them.""",,"Lark (small songbird, implies freedom/early riser)",,"#RANGE(10), !FORCE, #PATH"
0069,Malika Saffron,Voisira,CHAMPION,,,03VOI-01CHP-0069,FORTUNE FAVOURS,FREE ACTION,An ally within **AURA(10)** becomes lucky.,,,,"RANGE(10), FORCE({M3/Icons/Dice/TRIANGLE.png})",,12,6,https://drive.google.com/thumbnail?id=1BzbncdomP_n6W8UEXBzYTbmPIvplC9Eh&sz=w200,".png,50,0,100","""I make my own luck.""",,Malika (Arabic for queen) + Saffron (expensive yellow spice),,"!STEALTH, #RANGE(10), !FORCE, #ADVANTAGE-ATK, ~Lucky"
0070,Calazi,Voisira,MINION,COMPANION,Lark,03VOI-02COM-0070,BIRD CALL,ACTION,After any ally within **AURA(2)** performs a *ranged* *attack*; they may then perform a **MANOEUVRE(1)**.,,,,"SLIGHT, RANGE(5)",1,3,3,https://drive.google.com/thumbnail?id=1sM_11zUUmKkv70Kdfan0EAbpH7L4t6Fj&sz=w200,".png,50,0,100",,,"Reference to a lark (e.g., Calandra lark)",A crested lark.,"#RANGE(5), #Move-and-Attack"
0071,Mabruqa,Voisira,FAMILIAR,COMPANION,Malika Saffron,03VOI-02COM-0071,"""PROSPEROUS""",ABILITY,During your epilogue this character becomes lucky.,,,,"STEALTH, RANGE(10)",7,6,6,https://drive.google.com/thumbnail?id=1bQnYhFlYzEz6HfV_lTHlBPWGgBZyZexc&sz=w200,".png,0,0,100",,,Thin humanoid enveloped in nettle like foliage.,A giant bird that walks on its wings (like a wyvern). I wanted to try and capture the evolutionary half-way between a dinosaur and a bird.,"#RANGE(10), #STEALTH, #ADVANTAGE-ATK, ~Lucky"
0072,Huma'ra,Voisira,FAMILIAR,,,03VOI-03FAM-0072,LIGHTNING STRIKE,ABILITY,After this character performs a *ranged* *attack*; they may then perform a **MANOEUVRE(3d{M3/Icons/Dice/NULL.png})**.,,,,RANGE(5),5,4,4,https://drive.google.com/thumbnail?id=1snr94msfCLORM8sdsucJjavUExWKBAel&sz=w200,".png,50,0,100",,,Huma bird (Iranian mythological bird of fortune that never touches the ground),A legless (or at least hidden legs) of a bird with a twisty tail whipping about.,"#RANGE(5), #Move-and-Attack"
0073,Lu'ann,Voisira,FAMILIAR,,,03VOI-03FAM-0073,FLEET OF FOOT,MANOEUVRE,This character may perform a **MANOEUVRE(6d2)**.,,,,FORERUNNER,4,4,4,https://drive.google.com/thumbnail?id=1ZGbOWO3vjeFe3gZOE16CUN1gO7FLdXy6&sz=w200,".png,0,0,100",,,Luan (Chinese mythological bird related to the phoenix),A flightless bird quickly running about. Looks more like an emu or ostrich.,"#FORERUNNER, #Bonus Movement"
0074,Shahbane,Voisira,FAMILIAR,,,03VOI-03FAM-0074,LANCE OF THE SHAHBANE,ACTION,"This character becomes ""Airborne"". Any character may cease to be ""Airborne"" to gain **PIERCE(10)** on their next *attack*.",,,,RANGE(5),5,4,4,https://drive.google.com/thumbnail?id=1tIO4uBRdRtxrzpbVSPtGir2Dy7jmalad{M3/Icons/Dice/NULL.png}sz=w200,".png,50,0,100",,,Shahbaz (Persian mythological falcon),"An eagle related familiar flying high, gathering electrical charge from the sky.","#RANGE(5), #RANGE(10), #PIERCE, ~Airborne"
0075,Conro,Voisira,FAMILIAR,,,03VOI-03FAM-0075,PLUMMETING STRIKE,ABILITY,"This character will **PUSH(3d{M3/Icons/Dice/NULL.png})** enemies on each *ranged* *attack*, the enemy then becomes *gauged*. This movement immediately disengages combat.
When any ally performs an *attack* against a *gauged* enemy, they gain **ADVANTAGE** on the *attack* and the enemy is no longer *gauged*. This effect persists until the last *gauged* character is defeated.",,,,"FLANK, RANGE(5)",5,4,4,https://drive.google.com/thumbnail?id=17AWdT9iws8oX3ouNZraGPLFl8aMFnyfJ&sz=w200,".png,50,0,100",,,Konrul (mythological bird),"The source on inspiration is a ""hybrid"" monster which I typically leave for the veritians but given this is always described as a bird I think this is safe.","#FLANK, #RANGE(5), #ADVANTAGE-ATK, #P-AWAY, ~Gauged"
0076,Lillanir,Voisira,FAMILIAR,,,03VOI-03FAM-0076,FAVOURABLE WINDS,ABILITY,"Whilst within **AURA(2)**, **STRENGTHEN(+1)** all allies.",,,,RANGE(5),4,3,3,https://drive.google.com/thumbnail?id=1I0bk_O-q1iSYjhvoOPR0n2vMfN04jBma&sz=w200,".png,50,0,100",,,"Sumerian and Mesopotamian mythology, lil translates to ""wind"" or ""spirit"" (as seen in the wind demon Lilitu or the god Enlil). + anir",An air elemental. I was aiming for a cute cloud like entity.,"#RANGE(5), #STRENGTHEN"
0077,Alicanur,Voisira,FAMILIAR,,,03VOI-03FAM-0077,SHARP EYE,ABILITY,"When this character performs ""Overwatch"" they gain **RANGE(+5)** and always benefits from the ""Target of Opportunity"" bonus rule.",,,,RANGE(5),5,4,4,https://drive.google.com/thumbnail?id=1MF-qNnzBEdR_HvG458R23NGLXDpDKkqM&sz=w200,".png,50,0,100",,,Alicanto (mythological bird of Chile),The inspiration is a flightless bird which doesn't suit the theme. The is a sniper character so I was looking at an owl based look.,"#RANGE(5), #RANGE(10), ~Overwatch"
0078,Stympharaq,Voisira,FAMILIAR,,,03VOI-03FAM-0078,,,,,,,"PIERCE(3), REACH",4,4,4,https://drive.google.com/thumbnail?id=15CgMJVQ9fd7MoWJt_0L8wy685DuiddSS&sz=w200,".png,90,0,100",,,Stymphalian birds (Greek mythology) + Raq,A flightless bird with a long lance like beak.,"#PIERCE, #REACH"
0079,Calcytron,Voisira,FAMILIAR,,,03VOI-03FAM-0079,PUNCTURING DIVE,ABILITY,This character gains **PIERCE(5)** on each *ranged* *attack*.,,,,RANGE(5),5,4,4,https://drive.google.com/file/d/1zv00LWb7VENhd7DNp2IwrRk1qzGVEJrn/view?usp=drive_link,".jpeg,50,0,100",,,Halcyon+Cestros (Kestros),Kingfisher,"#PIERCE, #RANGE(5)"
0080,Hollow Kukkuhu,Voisira,FAMILIAR,,,03VOI-03FAM-0080,VEILED,ACTION,"This character performs a Xd{M3/Icons/Dice/NULL.png} rank-1 check, where X is the number of spaces to the nearest enemy. If the check is successful; this character is removed from the stage and must *emerge* next turn from **STEALTH**.",,,,"STEALTH, RANGE(5)",5,4,4,https://drive.google.com/file/d/1yGKSeMqZbxrzF6UhNDc0zvTmp-CiebMt/view?usp=drive_link,".jpeg,50,0,100",Don't be deceived.,,"Hollow meaning fake, Kukkuhu from Cuckoo",A mechanical cuckoo,"#STEALTH, #RANGE(5), #Emergence"
0081,Sunspur,Voisira,FAMILIAR,,,03VOI-03FAM-0081,BARBED RETORT,ACTION,"Summon a ""Trap"" on an available space within **RANGE(3)** of this character then **PUSH(1)** this character away from the ""Trap"".
Each ""Trap"" is a *hazard* that causes enemies to suffer 2d2 damage, they suffer +1 damage if they are already *wounded*. Each ""Trap"" is removed after triggering. This effect persists until the last ""Trap"" is removed.",,,,FORERUNNER,4,4,4,https://drive.google.com/file/d/1UuHppo96Yphfq2fspgB56yqcLvFVl2ac/view?usp=drive_link,".jpeg,50,0,100",Impales its prey on barbs of sunlight.,,Sun+spur referencing the trapping nature,Based on the real-world shrike#,"#FORERUNNER, ~Trap, #Hazard, #P-AWAY"
0082,The Kilit-Shard,Voisira,TALISMAN,,,03VOI-05TAL-0082,,,**STRENGTHEN(+1)** this character.,,,,,1,,,https://drive.google.com/thumbnail?id=1OyUKkGOhVMMGkwNeWny2erb2nqQe9o1X&sz=w200,".png,50,0,100",,,Kilit (Turkish for lock) or original,,!STRENGTHEN
0083,Dawn-Quill Vane,Voisira,TALISMAN,,,03VOI-05TAL-0083,,,This character gains **FORERUNNER**.,,,,,1,,,https://drive.google.com/thumbnail?id=1KlQMxRPz5y5ubNIaypPfIU4Idsie77JU&sz=w200,".png,50,0,100",,,Literal description (Sky/Bird motif),,#FORERUNNER
0084,Dart,Voisira,SPECIAL ACTION,SIGNATURE,Lark,03VOI-06SIG-0084,,,"Your champion is immediately not engaged in combat, gains **REACH**, and they do not trigger reactions. These effects last until your next epilogue. Your champion then performs the following *attack manoeuvre action* 2 times as a *free action*:
This character may perform a **MANOEUVRE(2)**, then they may perform an **ATTACK**.",,,,,7,,,,".png,50,0,100",,,,,"#Evade, #Move-and-Attack, #REACH"
0085,The Bold,Voisira,SPECIAL ACTION,SIGNATURE,Malika Saffron,03VOI-06SIG-0085,,,A character may cease to be lucky to gain **FORCE({M3/Icons/Dice/TRIANGLE.png})** and gain **LETHAL(2d2)** on their next *attack*.,,,,,8,,,,".png,70,0,100",,,,,"#FORCE, #LETHAL"
0086,Dust Bath,Voisira,SPECIAL ACTION,,,03VOI-07SPA-0086,,,"An ally may perform ""Disengage"" as a *free action* and gain **ADVANTAGE** on each *melee* *attack* against them until your next prologue.",,,,,5,,,,".png,50,0,100",,,,,"#Evade, #ADVANTAGE-DEF"
0087,"""Finish them!""",Voisira,SPECIAL ACTION,,,03VOI-07SPA-0087,,,"All allies gain **LETHAL(2d2)** for each *attack* against *wounded* enemies, until you next epilogue.",,,,,10,,,,".png,50,0,100",,,,,#LETHAL
0088,Gust,Voisira,SPECIAL ACTION,,,03VOI-07SPA-0088,,,"An ally performs the following *free action*:
**PUSH(4d{M3/Icons/Dice/NULL.png})** a character within **RANGE(5)**. This movement immediately disengages combat.",,,,,6,,,,".png,50,0,100",,,,,"#P-AWAY, #Extra Manoeuvre"
0089,Sand Blast,Voisira,SPECIAL ACTION,,,03VOI-07SPA-0089,,,An ally gains **BLAST(1)** until your next epilogue.,,,,,6,,,,".png,50,0,100",,,,,#BLAST
0090,"""Let the talons fly!""",Voisira,SPECIAL ACTION,,,03VOI-07SPA-0090,,,"An ally may perform an **ATTACK** 2 times, each as a *free actions* until your next epilogue.",,,,,8,,,,".png,50,0,100",,,,,#Extra Attack
0091,Snare,Voisira,SPECIAL ACTION,,,03VOI-07SPA-0091,,,"An ally performs the following *free action*:
Summon a ""Trap"" on an available space within **RANGE(3)** of this character.
Each ""Trap"" is a *hazard* that causes enemies to suffer 2d2 damage and become **ROOTED** until after their next activation. Each ""Trap"" is removed after triggering. This effect persists until the last ""Trap"" is removed.",,,,RESERVE(2),6,,,,".png,50,0,100",,,,,"#Hazard, #Direct Damage, #ROOTED, ~Trap"
0092,Sky Hunter's Roost,Voisira,SPECIAL ACTION,,,03VOI-07SPA-0092,,,"An ally summons a ""Roost"" on their space.
Each ""Roost"" is a *emplacement*. All allies occupying a ""Roost"" gain **RANGE(+5)** and **STRENGTHEN(+1)** them. This effect persists until the last ""Roost"" is removed.",,,,,5,,,,".png,50,0,100",The great hunting roosts of the Voisia provide excellent sightlines.,,,,"#Emplacement, #RANGE(10), #STRENGTHEN, ~Roost"
0093,Eye of the Hunter,Voisira,SPECIAL ACTION,,,03VOI-07SPA-0093,,,"When an ally performs an *attack*; **STRENGTHEN(+1)** them, and they gain **LETHAL(1d2)**. After this character defeats an enemy, they may then perform a **MANOEUVRE(3d{M3/Icons/Dice/NULL.png})**. This effect persists until your next epilogue.",,,,,5,,,,".png,50,0,100",,,,,"#STRENGTHEN, #LETHAL, #Move-and-Attack"
0094,Snatch Grab Vortex,Voisira,SPECIAL ACTION,,,03VOI-07SPA-0094,,,"An ally performs the following *free action*:
Designate a space within **RANGE(5)** of this character, **PULL(4d{M3/Icons/Dice/NULL.png})** all enemies within **BLAST(2)** of the space and they become **SLOWED** until after their next activation. This movement immediately disengages combat.",,,,,6,,,,".png,50,0,100",,,,,"#P-AWAY, #SLOWED"
0095,Flee,Voisira,SPECIAL ACTION,,,03VOI-07SPA-0095,,,"An ally performs the following *free manoeuvre action*:
An ally may perform a **MANOEUVRE(4d{M3/Icons/Dice/NULL.png})**. This movement immediately disengages combat.",,,,,5,,,,".png,50,0,100",,,,,"#Evade, #Extra Manoeuvre"
0096,Vantage Point,Voisira,SPECIAL ACTION,,,03VOI-07SPA-0096,,,An ally gains **RANGE(10)** and **ADVANTAGE** on its next *attack*.,,,,,6,,,,".png,50,0,100",,,,,"#RANGE(10), #ADVANTAGE-ATK"
0097,"""Light them up!""",Voisira,SPECIAL ACTION,,,03VOI-07SPA-0097,,,"An ally causes enemies to be *gauged* with their next *attack*.
When any ally performs an *attack* against a *gauged* enemy, they gain **ADVANTAGE** on the *attack* and the enemy is no longer *gauged*. This effect persists until the last *gauged* character is defeated.",,,,,6,,,,".png,50,0,100",,,,,"#ADVANTAGE-ATK, ~Gauged"
0098,"""Sic'em!""",Voisira,SPECIAL ACTION,,,03VOI-07SPA-0098,,,**STRENGTHEN(+1)** all allies until your next prologue.,,,,,8,,,,".png,50,0,100",,,,,#STRENGTHEN
0099,Plummet,Voisira,SPECIAL ACTION,,,03VOI-07SPA-0099,,,"An ally becomes ""Airborne"".
Whilst any character is ""Airborne"", they cannot be the *origin* or *focus* of any effects, and other characters may move through them. During your next epilogue, each character may cease to be ""Airborne"" to move to any space within RANGE(5) of an enemy within PATH(3) of them. This ally may then perform a *compelled* **ATTACK** against that enemy.",,,,,5,,,,".png,50,0,100",,,,,"#Extra Manoeuvre, #Extra Attack "
0100,Pinion Retort,Voisira,SPECIAL ACTION,,,03VOI-07SPA-0100,,,"**STRENGTHEN(+1)** and ally and when they perform their next *ranged* *attack*, **PUSH(1)** them away from the focus of the *attack*.",,,,,3,,,,".png,50,0,100",,,,,"#Strengthen, #P-Away, "
0101,"Valex, the Final Plume",Xalakith,CHAMPION,,,04XAL-01CHP-0101,MANDATE OF RESTORATION,ABILITY,"When an ally completes the *Draw Font* action, **SHIELD(2d2)** them and all adjacent allies.",,,,"RANGE(5), FORCE({M3/Icons/Dice/SQUARE.png})",,9,7,https://drive.google.com/thumbnail?id=1uOra4aacU1LUDxw5CLtfhtlKDG89OFYB&sz=w200,".png,50,0,100","""The Empire is not lost, it will recover!""",,"Valex (Valor/Lex - law) + Plume (feather, or decorative helmet crest)",,"!RANGE(5), !FORCE, #SHIELD"
0102,"Micteca, the Unsetting Sun",Xalakith,CHAMPION,,,04XAL-01CHP-0102,RELENTLESS ADVANCE,ABILITY,"After an ally within **AURA(10)**, defeats an enemy; that ally and all adjacent allies, may be *compelled* to **MANOEUVRE(1)**.",,,,RANGE(5),,7,6,https://drive.google.com/thumbnail?id=1-Fi11S7vRASBJgcoIHz_l1CFOXwFqMDd{M3/Icons/Dice/NULL.png}sz=w200,".png,50,0,100","""Attonomy is fine as long as you follow my commands.""",,Mictlan (Aztec underworld) / Mixtec people,,"!RANGE(5), #Extra Manoeuvre"
0103,Ryuztli,Xalakith,FAMILIAR,COMPANION,Valex the Final Plume,04XAL-02COM-0103,COPPERSCALE INTERCEPT,FREE ATTACK REACTION,"If this character is adjacent to an ally, when an enemy performs a *manoeuvre* on a space adjacent to that ally, this character may perform an **ATTACK** that enemy as if they were adjacent.",,,,"PIERCE(3), REACH",7,6,5,https://drive.google.com/thumbnail?id=1V3V_cuEP-UKU8O2Ao9hvwz7B2k1qjeJQ&sz=w200,".png,50,0,100",A loyal pet.,,"Ryu (Japanese dragon) + ""-ztli"" (Nahuatl suffix)",Another Xoalt (flying serpent) but this time with a coppery skin.,"#PIERCE, #REACH, #Intercept"
0104,Kibantli,Xalakith,FAMILIAR,COMPANION,Micteca the Unsetting Sun,04XAL-02COM-0104,TYRANNICAL CONSUMPTION,ABILITY,"When this character or any adjacent ally defeats an enemy, gain Xd2 ethemeralds, where X is the ether cost of this enemy.",,,,BLOCK(2d2),9,7,7,https://drive.google.com/thumbnail?id=1dotJTIBmkiLGH9gwEovOT4NYZUKU5Lth&sz=w200,".png,50,0,100",Yum.,,"I was aiming for a reference to ""king"" or ""tyrant"" given the visual reference, but it seems even AI can't unpick the mangling I did to the word.",A t rex human hybrid.,"#BLOCK, #Ethemerald Generation"
0105,Cuauhxic,Xalakith,FAMILIAR,,,04XAL-03FAM-0105,BULWARK,ABILITY,"Whilst adjacent, all allies gain **BLOCK(2d2)**.",,,,,7,4,7,https://drive.google.com/thumbnail?id=1V6CBUV6lu0WPFI3ulDhWiW4TKRuOmIXc&sz=w200,".png,50,0,100",,,Cuauhxicalli (Aztec eagle vessel for hearts) or Cuauhtli (Nahuatl for eagle),An eagle is a symbol of strength but this needs to be a defensive creature. I still like the beetle but it'll need a new name.,#BLOCK
0106,Zephyr Xoatl,Xalakith,FAMILIAR,,,04XAL-03FAM-0106,WHIPHEAD STRIKE,FREE ATTACK REACTION,"When an enemy performs a *melee* *attack* against an adjacent ally, this character may perform an **ATTACK** that enemy as if they were adjacent.",,,,"RANGE(3), REACH",5,5,4,https://drive.google.com/thumbnail?id=1QD4XUva7znEUdxzSneA347uDOkF4XmpT&sz=w200,".png,50,0,100",The Zephyr variety are renowned for their ariel speed and agility.,,Zephyr (Greek west wind) + Xoatl (Nahuatl for serpent),Winged serpent. This one should be coiled looking ready to spring forward.,"#RANGE(3), #Retaliate"
0107,Ixca,Xalakith,FAMILIAR,,,04XAL-03FAM-0107,RIGHTEOUS FERVOUR,ABILITY,Whilst adjacent to allies this character gains **PIERCE(5)**.,,,,RANGE(5),4,7,3,https://drive.google.com/thumbnail?id=11Y-2u1F5AVFmTcJPqBilnwJ-F5YSNHX-&sz=w200,".png,50,0,100",,,"Nahuatl root (Ixca - to roast/bake, or Ixcatec)",Spatuletail bird feathers,"#RANGE(5), #PIERCE"
0108,Malinal,Xalakith,FAMILIAR,,,04XAL-03FAM-0108,STELE OF SHARPENING,ABILITY,"This character summons a ""Stele"" rather than places a ""Link"" token.
Each ""Stele"" counts as a ""Link"", and is a *totem*. Whilst allies are within **RANGE(5)** of a ""Stele"", gain **LETHAL(1d2)**. A character can only benefit from one ""Stele"" at a time, and this effect persists until the last ""Stele"" is removed.",,,,RANGE(5),4,5,4,https://drive.google.com/thumbnail?id=1vrirgTBeAyCrRLrw9io1ent9ilA4STz1&sz=w200,".png,30,0,100",,,Malinalxochitl (Aztec sorceress/goddess of snakes/insects),Snakes are already covered by the Xoatls so we could focus on the insects. The existing art of a wolf is obviously a misdirection. Given the RANGE(5) it could be a flying insect. Maybe the giant dragonflies with some poisonous tail (explaining the extra damage).,"#RANGE(3), #Totem, #LETHAL, ~Stele"
0109,Tezcayotl,Xalakith,FAMILIAR,,,04XAL-03FAM-0109,REGRETFUL ECHO,ABILITY,"Whilst adjacent, all allies gain **RIPOSTE**.",,,,,6,4,7,https://drive.google.com/thumbnail?id=1zPsoOaSCiir4DSb-Xk-WbN6AiaOqu9_0&sz=w200,".png,50,0,100",,,"Tezcatlipoca (Aztec god of the night sky) / ""-yotl"" (Nahuatl suffix for abstract noun)",Pivot to a spiked dinosaur or stick with a beetle but add spikes?,#RIPOSTE
0110,Yolia,Xalakith,FAMILIAR,,,04XAL-03FAM-0110,SUNDERING STRIKE,ATTACK,"This character performs an **ATTACK** that will **SUNDER(-2)** enemies, but does not deal bonus damage.",,,,"SLIGHT, RANGE(3)",4,3,3,https://drive.google.com/thumbnail?id=182ugCG_jiDFKgQcWU2b_WvWiQH7B8Dk3&sz=w200,".png,0,0,100",,,Yolia (Nahuatl concept of soul/life force),This is a humming bird like soul familiar.,"#SLIGHT, #SUNDER"
0111,Zotzon,Xalakith,FAMILIAR,,,04XAL-03FAM-0111,COORDINATED ASSAULT,ABILITY,Whilst adjacent to allies this character and all adjacent allies gain **CRITICAL({M3/Icons/Dice/SQUARE.png})** on each *attack* by them.,,,,RANGE(5),5,6,4,https://drive.google.com/thumbnail?id=1n8AeoWiBIxlqgYwvuihCjISv4HmGiHSB&sz=w200,".png,50,0,100",,,"Sotz' or zotz is the K'iche' Maya word for ""bat"", perhaps I was thinking of the screech. Happy to change the art direction from howler monkey to bat.",Bat,"#RANGE(5), #CRITICAL-ATK, #CRITICAL-DEF"
0112,Xocotoc,Xalakith,FAMILIAR,,,04XAL-03FAM-0112,ANCESTRAL ECHO,ABILITY,Whilst adjacent to allies this character may perform an **ATTACK** as a *free action*.,,,,RANGE(5),4,6,3,,".jpeg,50,0,100",,,Rhythmic hammering of a woodpecker,Pale-billed Woodpecker,"#Extra Attack, #RANGE(5)"
0113,Malefic Xoatl,Xalakith,FAMILIAR,,,04XAL-03FAM-0113,TOMBANE VENOM,ABILITY,Whilst adjacent to allies this character gains **LETHAL(3d2)**.,,,,"RANGE(3), REACH",5,5,4,,".jpeg,50,0,100",,,Xoatl comes from Coatl,A venomous flying snake.,"#RANGE(3), #REACH, #LETHAL"
0114,Cipactin,Xalakith,FAMILIAR,,,04XAL-03FAM-0114,STELE OF AGGRESSION,ABILITY,"This character summons a ""Stele"" rather than places a ""Link"" token.
Each ""Stele"" counts as a ""Link"", and is a *totem*. Whilst allies are within **RANGE(5)** of a ""Stele"", gain **LETHAL(2d2)** on each *melee* *attack*. A character can only benefit from one ""Stele"" at a time, and this effect persists until the last ""Stele"" is removed.",,,,REINFORCE({M3/Icons/Dice/SQUARE.png}),7,4,7,,".jpeg,50,0,100",,,Cipactli,A crocodilian based demon with mouths on every joint. The original also seems to mix in fish and toad aspects we could use to add more variety.,"#REINFORCE, #LETHAL, ~Stele"
0115,Gilded Gun-Kan,Xalakith,TALISMAN,,,04XAL-05TAL-0115,,,"This character can place two ""Link"" tokens per activation.",,,,,2,,,https://drive.google.com/thumbnail?id=1-QASaDmnnwc15rHtvCgyRvSYxaBYq7pY&sz=w200,".png,50,0,100",A relic from a bygone era.,,Gilded + Fans of command (Gun-Kan),,~Link
0116,Re-Minted Obel,Xalakith,TALISMAN,,,04XAL-05TAL-0116,,,"When this character is being resummoned, decrease their ether cost by 1.",,,,,1,,,https://drive.google.com/thumbnail?id=1QXcWnZ2jY2PuQTuKQdyZs7_eQDDU2V9W&sz=w200,".png,50,0,100",This Xalakith tradition combines the only two certainties in life.,,Another Xoatl (flying serpent) but this time with a coppery skin.,,#Ether Discount
0117,Chimal's Decree,Xalakith,SPECIAL ACTION,SIGNATURE,"Valex, the Final Plume",04XAL-06SIG-0117,,,"Your champion performs the following *free action*:
**SHIELD(2d2)** an ally within **RANGE(5)** and all allies adjacent to them.",,,,,8,,,,".png,50,0,100",,,,,#SHIELD
0118,"""Bring hammers to anvils!""",Xalakith,SPECIAL ACTION,SIGNATURE,"Micteca, the Unsetting Sun",04XAL-06SIG-0118,,,"All allies may use their *fortitude* instead of *prowess* on each *attack* by them, until your next prologue.",,,,,9,,,,".png,50,0,100",,,,,!STRENGTHEN
